p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.0,6.70767778342758,0.713,0.012,0.0,10,Gpihbp1
0.0,6.70405686408445,0.223,0.004,0.0,10,Slco1c1
0.0,6.67498628496377,0.273,0.004,0.0,10,Grrp1
0.0,6.65858993380911,0.242,0.004,0.0,10,Aplnr
0.0,6.63884935058664,0.628,0.013,0.0,10,Palmd
0.0,7.21131243816861,0.796,0.019,0.0,11,Adgre4
0.0,7.06828807994631,0.286,0.005,0.0,11,Cd300e
0.0,6.9203881399996,0.111,0.003,0.0,11,Ccdc192
0.0,6.25966880585864,0.265,0.006,0.0,11,Arhgef37
0.0,5.80923086083467,0.461,0.014,0.0,11,Ms4a4a
0.0,5.63765543369794,0.624,0.033,0.0,11,Smpdl3b
0.0,5.50681592030531,0.537,0.016,0.0,11,Apoc2
0.0,5.24772535492418,0.316,0.009,0.0,11,Gm36161
0.0,5.19677614978522,0.663,0.031,0.0,11,Treml4
0.0,5.18845914955793,0.825,0.038,0.0,11,Clec4a1
0.0,5.10840773864347,0.168,0.008,0.0,11,Tmem26
0.0,5.030080879776,0.173,0.007,0.0,11,S1pr5
0.0,5.01376947039211,0.747,0.092,0.0,11,Pot1b
0.0,4.9627857068241,0.735,0.03,0.0,11,Gm21188
0.0,4.73974859099962,0.303,0.019,0.0,11,Gm35154
0.0,4.72511117029822,0.222,0.014,0.0,11,Skint3
0.0,4.69737572308256,0.408,0.042,0.0,11,Vcan
0.0,4.68409873498317,0.925,0.103,0.0,11,Ms4a6c
0.0,4.66163437163403,0.791,0.054,0.0,11,Clec4a3
0.0,4.61216135947978,0.941,0.196,0.0,11,Plac8
0.0,9.08275355544851,0.319,0.002,0.0,12,Klra8
0.0,8.9554984620601,0.766,0.013,0.0,12,Gzma
0.0,8.71032162775974,0.42,0.002,0.0,12,Klra9
0.0,8.68511964985456,0.611,0.004,0.0,12,Ncr1
0.0,8.4926665337282,0.135,0.001,0.0,12,Khdc1a
0.0,8.42042157662275,0.553,0.006,0.0,12,Klra4
0.0,8.00082204869623,0.602,0.008,0.0,12,Klrb1c
0.0,7.94165422719901,0.699,0.007,0.0,12,Gzmb
0.0,7.93077882162268,0.168,0.002,0.0,12,Klra3
0.0,7.92866482207028,0.752,0.011,0.0,12,Klre1
0.0,7.92572985505889,0.782,0.015,0.0,12,Prf1
0.0,7.89012141394158,0.294,0.003,0.0,12,Klri2
0.0,7.86505523500817,0.588,0.008,0.0,12,Adamts14
0.0,7.8168886665379,0.428,0.005,0.0,12,Klra7
0.0,7.79096488602499,0.283,0.003,0.0,12,Klrb1a
0.0,7.49464487255284,0.26,0.003,0.0,12,Klrc3
0.0,7.36607670165039,0.987,0.054,0.0,12,Ccl5
0.0,7.36580555578143,0.461,0.006,0.0,12,Klra1
0.0,7.15012009905574,0.581,0.009,0.0,12,Eomes
0.0,7.06261307633466,0.117,0.002,0.0,12,Cldnd2
0.0,11.4557628008281,0.223,0.001,0.0,13,Adcy8
0.0,10.8501672608736,0.266,0.002,0.0,13,Trpc6
0.0,10.3930406411779,0.148,0.0,0.0,13,Gm21798
0.0,10.3416297587582,0.114,0.0,0.0,13,Gm32014
0.0,10.00900304261,0.581,0.003,0.0,13,Myocd
0.0,9.74042121443223,0.809,0.015,0.0,13,Myh11
0.0,9.5892314847505,0.135,0.0,0.0,13,Tmem215
0.0,9.57047881947826,0.508,0.004,0.0,13,Cnn1
0.0,9.41367863787203,0.148,0.001,0.0,13,Fam162b
0.0,9.31309150447678,0.436,0.001,0.0,13,Lgr6
0.0,9.28556066964397,0.172,0.0,0.0,13,Xirp1
0.0,9.06833735744184,0.203,0.001,0.0,13,Higd1b
0.0,8.98188670959966,0.278,0.003,0.0,13,Hpse2
0.0,8.96218214170722,0.205,0.001,0.0,13,Susd5
0.0,8.95462311591303,0.76,0.034,0.0,13,Tagln
0.0,8.90798018888513,0.712,0.01,0.0,13,Gucy1a1
0.0,8.90581030137602,0.733,0.048,0.0,13,Acta2
0.0,8.89908754253918,0.122,0.0,0.0,13,Gm12295
0.0,8.87311801728223,0.692,0.009,0.0,13,Synpo2
0.0,8.86881285097728,0.18,0.002,0.0,13,Agtr1a
0.0,9.15135236435439,0.192,0.0,0.0,14,Cyp8b1
0.0,8.52213422195697,0.835,0.004,0.0,14,Xcr1
0.0,8.18519049444432,0.148,0.0,0.0,14,Gpr33
0.0,8.0413201628957,0.167,0.001,0.0,14,Gm45238
0.0,8.0199860679388,0.341,0.002,0.0,14,Cd207
0.0,7.86921383215559,0.132,0.0,0.0,14,Gm41492
0.0,7.77722513511905,0.776,0.006,0.0,14,Sept3
0.0,7.77510861541608,0.239,0.001,0.0,14,Gm30978
0.0,7.52300598217587,0.117,0.0,0.0,14,Gm1965
0.0,7.47172348160695,0.63,0.008,0.0,14,Timd4
0.0,7.43267378839943,0.606,0.003,0.0,14,Gm43914
0.0,7.20221921645254,0.483,0.003,0.0,14,Gpr141b
0.0,6.92985972331613,0.18,0.001,0.0,14,Gm38410
0.0,6.83531002779694,0.469,0.004,0.0,14,Pianp
0.0,6.78788571661836,0.921,0.018,0.0,14,Htr7
0.0,6.74319222018206,0.691,0.014,0.0,14,Cldn1
0.0,6.56669172969295,0.154,0.001,0.0,14,AU015336
0.0,6.27295223754574,0.584,0.007,0.0,14,4931406G06Rik
0.0,6.24082191226508,0.752,0.063,0.0,14,P3h2
0.0,6.18949328492673,0.3,0.005,0.0,14,Havcr1
0.0,9.89474100284851,0.25,0.0,0.0,15,Slc5a12
0.0,8.25259541949195,0.523,0.005,0.0,15,Lmntd1
0.0,7.56580859426802,0.5,0.013,0.0,15,Tmeff2
0.0,7.5307248220872,0.17,0.001,0.0,15,Rprml
0.0,7.40618830410678,0.119,0.001,0.0,15,Gm30648
0.0,6.97555434546223,0.321,0.003,0.0,15,Apln
0.0,6.97549449212857,0.569,0.016,0.0,15,Rgs6
0.0,6.9688188051332,0.45,0.01,0.0,15,Tbx3os1
0.0,6.80536073174241,0.309,0.005,0.0,15,Chst1
0.0,6.59243235892232,0.396,0.013,0.0,15,2610203C22Rik
0.0,6.56515602671813,0.477,0.016,0.0,15,Fibin
0.0,6.39492549110587,0.129,0.003,0.0,15,Dpysl5
0.0,6.31792092363522,0.943,0.123,0.0,15,Prickle2
0.0,6.30908010583289,0.831,0.031,0.0,15,Kdr
0.0,6.25608923033693,0.691,0.024,0.0,15,Edil3
0.0,6.22829295397296,0.868,0.035,0.0,15,Piezo2
0.0,6.0767743709056,0.549,0.019,0.0,15,Ednrb
0.0,6.01089238282472,0.511,0.021,0.0,15,Gnao1
0.0,5.99560622231519,0.898,0.092,0.0,15,Kitl
0.0,5.94352538040169,0.774,0.031,0.0,15,Tbx3
0.0,9.57173315652411,0.144,0.0,0.0,16,Gm16212
0.0,9.40591599418577,0.195,0.001,0.0,16,Slc22a22
0.0,8.88536316871942,0.538,0.02,0.0,16,Rtkn2
0.0,8.60267137406464,0.396,0.016,0.0,16,Igfbp2
0.0,7.87695366673409,0.103,0.001,0.0,16,Prkag3
0.0,7.64581720843244,0.281,0.007,0.0,16,Scel
0.0,7.08211673232733,0.155,0.001,0.0,16,Wnt7a
0.0,6.53668607821307,0.195,0.005,0.0,16,Gm35330
0.0,6.49449744149178,0.423,0.024,0.0,16,Scnn1g
0.0,6.42992142433606,0.403,0.014,0.0,16,Sh3rf2
0.0,6.31904915989115,0.272,0.007,0.0,16,Bdnf
0.0,6.31020981299086,0.502,0.021,0.0,16,Sema3a
0.0,6.23450913257683,0.654,0.057,0.0,16,Akap5
0.0,6.19226778713074,0.268,0.013,0.0,16,Cldn4
0.0,6.08252098545422,0.217,0.012,0.0,16,Sprr1a
0.0,6.06906790247593,0.144,0.003,0.0,16,Gm36569
0.0,6.00888750597538,0.802,0.216,0.0,16,Hopx
0.0,5.7759262451415,0.542,0.037,0.0,16,Sema3e
0.0,5.76704736576021,0.11,0.004,0.0,16,Gm4128
0.0,5.60936247854453,0.148,0.007,0.0,16,Krtap17-1
0.0,6.92608006219446,0.569,0.009,0.0,17,Pbk
0.0,6.08114646991707,0.709,0.04,0.0,17,Cdc20
0.0,6.0743113698437,0.695,0.023,0.0,17,Cdk1
0.0,5.87566858068722,0.57,0.019,0.0,17,Cenpf
0.0,5.84511811359174,0.529,0.027,0.0,17,Ube2c
0.0,5.7369444464917,0.523,0.014,0.0,17,Hmmr
0.0,5.65608734365051,0.603,0.021,0.0,17,Cdca3
0.0,5.64499400715951,0.44,0.014,0.0,17,Cdkn3
0.0,5.62635476101225,0.204,0.004,0.0,17,Sapcd2
0.0,5.52633948367164,0.341,0.01,0.0,17,Plk1
0.0,5.49199110835047,0.642,0.027,0.0,17,Ect2
0.0,5.47844913250763,0.373,0.012,0.0,17,Ccnb1
0.0,5.4371967022909,0.202,0.006,0.0,17,Pimreg
0.0,5.42892999512196,0.364,0.009,0.0,17,Esco2
0.0,5.42669993071557,0.405,0.012,0.0,17,Kif20a
0.0,5.39788594515165,0.456,0.015,0.0,17,Slfn9
0.0,5.39399573020783,0.178,0.006,0.0,17,Hist1h2af
0.0,5.3844999290149,0.495,0.016,0.0,17,Sgo2a
0.0,5.37931089136483,0.204,0.004,0.0,17,Ybx2
0.0,5.31005553232684,0.392,0.011,0.0,17,Melk
0.0,11.8142735368151,0.399,0.0,0.0,18,1700034E13Rik
0.0,11.3084216519048,0.694,0.0,0.0,18,Gm37381
0.0,11.2342069126069,0.437,0.0,0.0,18,Mdh1b
